simulation_year,scenario_label,ntp_seconds_counter,unix_signed_counter,unix_64bit_counter,ntp_era,interpreted_ntp_year,interpreted_unix_year,interpreted_unix_year_64bit,overflow_event_flag,ntp_overflow_occurred,unix_overflow_occurred,time_error_ntp_seconds,time_error_unix_seconds,legacy_device_fraction_affected,patch_rate_per_year,initial_legacy_fraction,true_seconds_since_ntp_epoch,true_seconds_since_unix_epoch
2024.0,no_patch_legacy_only,3913142400.0,1704110400.0,1704110400.0,0.0,2024.0,2024.0,2024.0,0,0,0,0.0,0.0,1.0,0.0,1.0,3913142400.0,1704110400.0
2024.082136,no_patch_legacy_only,3915734399.9999995,1706702399.0,1706702399.0,0.0,2024.082135523614,2024.0821354919258,2024.0821354919258,0,0,0,0.0,0.0,1.0,0.0,1.0,3915734399.9999995,1706702399.9999993
2024.164271,no_patch_legacy_only,3918326399.9999986,1709294399.0,1709294399.0,0.0,2024.1642710472279,2024.1642710155397,2024.1642710155397,0,0,0,0.0,0.0,1.0,0.0,1.0,3918326399.9999986,1709294399.9999988
2024.246407,no_patch_legacy_only,3920918399.999998,1711886399.0,1711886399.0,0.0,2024.2464065708418,2024.246406539154,2024.246406539154,0,0,0,0.0,0.0,1.0,0.0,1.0,3920918399.999998,1711886399.999998
2024.328542,no_patch_legacy_only,3923510399.9999976,1714478399.0,1714478399.0,0.0,2024.3285420944558,2024.3285420627678,2024.3285420627678,0,0,0,0.0,0.0,1.0,0.0,1.0,3923510399.9999976,1714478399.9999974
2024.410678,no_patch_legacy_only,3926102399.9999967,1717070399.0,1717070399.0,0.0,2024.4106776180697,2024.4106775863818,2024.4106775863818,0,0,0,0.0,0.0,1.0,0.0,1.0,3926102399.9999967,1717070399.9999967
2024.492813,no_patch_legacy_only,3928694399.999996,1719662399.0,1719662399.0,0.0,2024.4928131416837,2024.4928131099957,2024.4928131099957,0,0,0,0.0,0.0,1.0,0.0,1.0,3928694399.999996,1719662399.9999962
2024.574949,no_patch_legacy_only,3931286399.999995,1722254399.0,1722254399.0,0.0,2024.5749486652976,2024.5749486336097,2024.5749486336097,0,0,0,0.0,0.0,1.0,0.0,1.0,3931286399.999995,1722254399.9999955
2024.657084,no_patch_legacy_only,3933878399.9999948,1724846399.0,1724846399.0,0.0,2024.6570841889115,2024.6570841572236,2024.6570841572236,0,0,0,0.0,0.0,1.0,0.0,1.0,3933878399.9999948,1724846399.9999948
2024.73922,no_patch_legacy_only,3936470399.9999943,1727438399.0,1727438399.0,0.0,2024.7392197125255,2024.7392196808376,2024.7392196808376,0,0,0,0.0,0.0,1.0,0.0,1.0,3936470399.9999943,1727438399.9999943
2024.821355,no_patch_legacy_only,3939062399.9999933,1730030399.0,1730030399.0,0.0,2024.8213552361394,2024.8213552044515,2024.8213552044515,0,0,0,0.0,0.0,1.0,0.0,1.0,3939062399.9999933,1730030399.9999936
