scenario_label,patch_rate_per_year,initial_legacy_fraction,n_steps,ntp_overflow_steps,unix_overflow_steps,overflow_events_total,ntp_seconds_counter_mean,ntp_seconds_counter_std,ntp_seconds_counter_min,ntp_seconds_counter_max,unix_signed_counter_mean,unix_signed_counter_std,unix_signed_counter_min,unix_signed_counter_max,unix_64bit_counter_mean,unix_64bit_counter_std,unix_64bit_counter_min,unix_64bit_counter_max,ntp_era_mean,ntp_era_std,ntp_era_min,ntp_era_max,interpreted_ntp_year_mean,interpreted_ntp_year_std,interpreted_ntp_year_min,interpreted_ntp_year_max,interpreted_unix_year_mean,interpreted_unix_year_std,interpreted_unix_year_min,interpreted_unix_year_max,overflow_event_flag_mean,overflow_event_flag_std,overflow_event_flag_min,overflow_event_flag_max,time_error_ntp_seconds_mean,time_error_ntp_seconds_std,time_error_ntp_seconds_min,time_error_ntp_seconds_max,time_error_unix_seconds_mean,time_error_unix_seconds_std,time_error_unix_seconds_min,time_error_unix_seconds_max,legacy_device_fraction_affected_mean,legacy_device_fraction_affected_std,legacy_device_fraction_affected_min,legacy_device_fraction_affected_max,legacy_frac_at_2036,legacy_frac_at_2038,max_time_error_ntp_seconds,max_time_error_unix_seconds
no_patch_legacy_only,0.0,1.0,318,170,146,147,2027922700.8804,1940470901.6784327,1791103.999903679,4294166399.9999046,143039175.0534591,1938646869.9764206,-2145032897.0,2147342399.0,2114942399.0031447,237941035.24490297,1704110400.0,2525774399.0,0.0,0.0,0.0,0.0,1964.260992625561,61.48981233295407,1900.0567566608331,2036.0739219712495,1974.5326379399403,61.432012256205184,1902.028009195883,2038.0451745062996,0.46226415094339623,0.4985739721405212,0.0,1.0,2296051698.5849056,2142338337.0692725,0.0,4294967295.0,1971903223.490566,2140293795.4833612,0.0,4294967295.0,1.0,0.0,1.0,1.0,1.0,1.0,4294967295.0,4294967295.0
slow_patch_baseline,0.05,0.4,318,170,146,147,2027922700.8804,1940470901.6784327,1791103.999903679,4294166399.9999046,143039175.0534591,1938646869.9764206,-2145032897.0,2147342399.0,2114942399.0031447,237941035.24490297,1704110400.0,2525774399.0,0.0,0.0,0.0,0.0,1964.260992625561,61.48981233295407,1900.0567566608331,2036.0739219712495,1974.5326379399403,61.432012256205184,1902.028009195883,2038.0451745062996,0.46226415094339623,0.4985739721405212,0.0,1.0,2296051698.5849056,2142338337.0692725,0.0,4294967295.0,1971903223.490566,2140293795.4833612,0.0,4294967295.0,0.22377018602349344,0.08319986774392188,0.10881144238012973,0.4,0.2187147673112357,0.1990015465673404,4294967295.0,4294967295.0
aggressive_patch_campaign,0.2,0.4,318,170,146,147,2027922700.8804,1940470901.6784327,1791103.999903679,4294166399.9999046,143039175.0534591,1938646869.9764206,-2145032897.0,2147342399.0,2114942399.0031447,237941035.24490297,1704110400.0,2525774399.0,0.0,0.0,0.0,0.0,1964.260992625561,61.48981233295407,1900.0567566608331,2036.0739219712495,1974.5326379399403,61.432012256205184,1902.028009195883,2038.0451745062996,0.46226415094339623,0.4985739721405212,0.0,1.0,2296051698.5849056,2142338337.0692725,0.0,4294967295.0,1971903223.490566,2140293795.4833612,0.0,4294967295.0,0.07678710922365817,0.09833973453249523,0.0021903740974289648,0.4,0.03575464364448087,0.024504499266819846,4294967295.0,4294967295.0
ntp_era_aware_systems,0.05,0.4,318,170,146,147,2027922700.8804,1940470901.6784327,1791103.999903679,4294166399.9999046,143039175.0534591,1938646869.9764206,-2145032897.0,2147342399.0,2114942399.0031447,237941035.24490297,1704110400.0,2525774399.0,0.5345911949685535,0.4988020140603359,0.0,1.0,1964.260992625561,61.48981233295407,1900.0567566608331,2036.0739219712495,1974.5326379399403,61.432012256205184,1902.028009195883,2038.0451745062996,0.46226415094339623,0.4985739721405212,0.0,1.0,2296051698.5849056,2142338337.0692725,0.0,4294967295.0,1971903223.490566,2140293795.4833612,0.0,4294967295.0,0.22377018602349344,0.08319986774392188,0.10881144238012973,0.4,0.2187147673112357,0.1990015465673404,4294967295.0,4294967295.0
high_legacy_slow_patch,0.02,0.7,318,170,146,147,2027922700.8804,1940470901.6784327,1791103.999903679,4294166399.9999046,143039175.0534591,1938646869.9764206,-2145032897.0,2147342399.0,2114942399.0031447,237941035.24490297,1704110400.0,2525774399.0,0.0,0.0,0.0,0.0,1964.260992625561,61.48981233295407,1900.0567566608331,2036.0739219712495,1974.5326379399403,61.432012256205184,1902.028009195883,2038.0451745062996,0.46226415094339623,0.4985739721405212,0.0,1.0,2296051698.5849056,2142338337.0692725,0.0,4294967295.0,1971903223.490566,2140293795.4833612,0.0,4294967295.0,0.5456921496692233,0.08210310398070896,0.4158568603408211,0.7,0.5498260170895781,0.5294398467709258,4294967295.0,4294967295.0
